"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"LOTTO MAX EXTRA",112,"2011-11-11",2,20,74,83
"LOTTO MAX EXTRA",113,"2011-11-18",29,35,46,56
"LOTTO MAX EXTRA",114,"2011-11-25",7,56,73,74
"LOTTO MAX EXTRA",115,"2011-12-02",6,8,87,95
"LOTTO MAX EXTRA",116,"2011-12-09",3,38,50,91
"LOTTO MAX EXTRA",117,"2011-12-16",8,16,30,53
"LOTTO MAX EXTRA",118,"2011-12-23",5,27,67,85
"LOTTO MAX EXTRA",119,"2011-12-30",23,32,39,94
"LOTTO MAX EXTRA",120,"2012-01-06",36,37,76,95
"LOTTO MAX EXTRA",121,"2012-01-13",15,23,33,93
"LOTTO MAX EXTRA",122,"2012-01-20",13,19,62,67
"LOTTO MAX EXTRA",123,"2012-01-27",24,66,87,91
"LOTTO MAX EXTRA",124,"2012-02-03",14,43,52,88
"LOTTO MAX EXTRA",125,"2012-02-10",7,31,35,78
"LOTTO MAX EXTRA",126,"2012-02-17",9,19,45,78
"LOTTO MAX EXTRA",127,"2012-02-24",12,18,93,95
"LOTTO MAX EXTRA",128,"2012-03-02",14,34,47,79
"LOTTO MAX EXTRA",129,"2012-03-09",32,39,53,81
"LOTTO MAX EXTRA",130,"2012-03-16",5,41,88,89
"LOTTO MAX EXTRA",131,"2012-03-23",61,74,76,84
"LOTTO MAX EXTRA",132,"2012-03-30",13,14,63,82
"LOTTO MAX EXTRA",133,"2012-04-06",14,60,83,92
"LOTTO MAX EXTRA",134,"2012-04-13",17,72,80,99
"LOTTO MAX EXTRA",135,"2012-04-20",16,35,44,58
"LOTTO MAX EXTRA",136,"2012-04-27",36,38,69,97
"LOTTO MAX EXTRA",137,"2012-05-04",16,19,26,52
"LOTTO MAX EXTRA",138,"2012-05-11",12,38,60,73
"LOTTO MAX EXTRA",139,"2012-05-18",36,45,65,81
"LOTTO MAX EXTRA",140,"2012-05-25",50,56,88,97
"LOTTO MAX EXTRA",141,"2012-06-01",28,39,57,81
"LOTTO MAX EXTRA",142,"2012-06-08",3,32,87,95
"LOTTO MAX EXTRA",143,"2012-06-15",17,43,49,51
"LOTTO MAX EXTRA",144,"2012-06-22",13,38,61,88
"LOTTO MAX EXTRA",145,"2012-06-29",48,61,74,97
"LOTTO MAX EXTRA",146,"2012-07-06",4,6,63,72
"LOTTO MAX EXTRA",147,"2012-07-13",26,41,46,81
"LOTTO MAX EXTRA",148,"2012-07-20",29,43,45,76
"LOTTO MAX EXTRA",149,"2012-07-27",9,43,84,93
"LOTTO MAX EXTRA",150,"2012-08-03",19,63,92,95
"LOTTO MAX EXTRA",151,"2012-08-10",2,9,17,62
"LOTTO MAX EXTRA",152,"2012-08-17",7,46,49,76
"LOTTO MAX EXTRA",153,"2012-08-24",2,14,50,73
"LOTTO MAX EXTRA",154,"2012-08-31",33,48,55,95
"LOTTO MAX EXTRA",155,"2012-09-07",43,53,73,79
"LOTTO MAX EXTRA",156,"2012-09-14",7,18,73,74
"LOTTO MAX EXTRA",157,"2012-09-21",25,37,73,98
"LOTTO MAX EXTRA",158,"2012-09-28",34,48,82,90
"LOTTO MAX EXTRA",159,"2012-10-05",1,68,77,98
"LOTTO MAX EXTRA",160,"2012-10-12",10,15,51,58
"LOTTO MAX EXTRA",161,"2012-10-19",1,19,37,60
"LOTTO MAX EXTRA",162,"2012-10-26",49,74,83,85
"LOTTO MAX EXTRA",163,"2012-11-02",1,9,28,96
"LOTTO MAX EXTRA",164,"2012-11-09",35,56,57,74
"LOTTO MAX EXTRA",165,"2012-11-16",7,15,18,59
"LOTTO MAX EXTRA",166,"2012-11-23",1,64,66,96
"LOTTO MAX EXTRA",167,"2012-11-30",11,28,66,93
"LOTTO MAX EXTRA",168,"2012-12-07",10,86,89,94
"LOTTO MAX EXTRA",169,"2012-12-14",5,15,24,96
"LOTTO MAX EXTRA",170,"2012-12-21",3,4,69,74
"LOTTO MAX EXTRA",171,"2012-12-28",53,59,69,97
"LOTTO MAX EXTRA",172,"2013-01-04",10,60,74,79
"LOTTO MAX EXTRA",173,"2013-01-11",10,24,41,91
"LOTTO MAX EXTRA",174,"2013-01-18",49,76,94,97
"LOTTO MAX EXTRA",175,"2013-01-25",51,62,67,75
"LOTTO MAX EXTRA",176,"2013-02-01",17,57,81,95
"LOTTO MAX EXTRA",177,"2013-02-08",20,50,59,81
"LOTTO MAX EXTRA",178,"2013-02-15",12,21,45,51
"LOTTO MAX EXTRA",179,"2013-02-22",5,7,12,42
"LOTTO MAX EXTRA",180,"2013-03-01",18,24,77,93
"LOTTO MAX EXTRA",181,"2013-03-08",36,51,57,71
"LOTTO MAX EXTRA",182,"2013-03-15",7,50,78,98
"LOTTO MAX EXTRA",183,"2013-03-22",3,51,74,97
"LOTTO MAX EXTRA",184,"2013-03-29",12,35,50,55
"LOTTO MAX EXTRA",185,"2013-04-05",26,74,79,87
"LOTTO MAX EXTRA",186,"2013-04-12",51,78,82,83
"LOTTO MAX EXTRA",187,"2013-04-19",3,9,52,96
"LOTTO MAX EXTRA",188,"2013-04-26",3,39,69,71
"LOTTO MAX EXTRA",189,"2013-05-03",51,57,72,90
"LOTTO MAX EXTRA",190,"2013-05-10",15,18,44,93
"LOTTO MAX EXTRA",191,"2013-05-17",6,8,38,85
"LOTTO MAX EXTRA",192,"2013-05-24",15,47,86,87
"LOTTO MAX EXTRA",193,"2013-05-31",26,48,49,78
"LOTTO MAX EXTRA",194,"2013-06-07",23,27,66,95
"LOTTO MAX EXTRA",195,"2013-06-14",26,39,55,96
"LOTTO MAX EXTRA",196,"2013-06-21",16,18,52,88
"LOTTO MAX EXTRA",197,"2013-06-28",5,59,83,86
"LOTTO MAX EXTRA",198,"2013-07-05",23,40,68,93
"LOTTO MAX EXTRA",199,"2013-07-12",7,44,57,71
"LOTTO MAX EXTRA",200,"2013-07-19",15,33,53,60
"LOTTO MAX EXTRA",201,"2013-07-26",27,36,41,98
"LOTTO MAX EXTRA",202,"2013-08-02",41,61,68,70
"LOTTO MAX EXTRA",203,"2013-08-09",8,26,76,85
"LOTTO MAX EXTRA",204,"2013-08-16",17,36,63,84
"LOTTO MAX EXTRA",205,"2013-08-23",13,20,33,36
"LOTTO MAX EXTRA",206,"2013-08-30",20,30,49,61
"LOTTO MAX EXTRA",207,"2013-09-06",1,24,61,67
"LOTTO MAX EXTRA",208,"2013-09-13",18,26,47,57
"LOTTO MAX EXTRA",209,"2013-09-20",29,37,77,85
"LOTTO MAX EXTRA",210,"2013-09-27",13,19,64,71
"LOTTO MAX EXTRA",211,"2013-10-04",6,57,80,98
"LOTTO MAX EXTRA",212,"2013-10-11",14,20,59,76
"LOTTO MAX EXTRA",213,"2013-10-18",34,40,60,74
"LOTTO MAX EXTRA",214,"2013-10-25",21,25,32,70
"LOTTO MAX EXTRA",215,"2013-11-01",2,10,11,53
"LOTTO MAX EXTRA",216,"2013-11-08",15,41,71,80
"LOTTO MAX EXTRA",217,"2013-11-15",9,26,29,54
"LOTTO MAX EXTRA",218,"2013-11-22",2,5,22,91
"LOTTO MAX EXTRA",219,"2013-11-29",2,48,78,98
"LOTTO MAX EXTRA",220,"2013-12-06",10,41,48,95
"LOTTO MAX EXTRA",221,"2013-12-13",2,16,51,65
"LOTTO MAX EXTRA",222,"2013-12-20",67,76,88,90
"LOTTO MAX EXTRA",223,"2013-12-27",12,29,66,92
"LOTTO MAX EXTRA",224,"2014-01-03",40,51,60,77
"LOTTO MAX EXTRA",225,"2014-01-10",15,28,63,89
"LOTTO MAX EXTRA",226,"2014-01-17",42,59,63,94
"LOTTO MAX EXTRA",227,"2014-01-24",15,81,91,93
"LOTTO MAX EXTRA",228,"2014-01-31",12,36,62,83
"LOTTO MAX EXTRA",229,"2014-02-07",6,22,54,58
"LOTTO MAX EXTRA",230,"2014-02-14",37,44,64,88
"LOTTO MAX EXTRA",231,"2014-02-21",36,62,71,97
"LOTTO MAX EXTRA",232,"2014-02-28",2,15,44,56
"LOTTO MAX EXTRA",233,"2014-03-07",11,52,73,80
"LOTTO MAX EXTRA",234,"2014-03-14",25,39,58,84
"LOTTO MAX EXTRA",235,"2014-03-21",23,50,71,87
"LOTTO MAX EXTRA",236,"2014-03-28",2,37,71,89
"LOTTO MAX EXTRA",237,"2014-04-04",37,61,92,95
"LOTTO MAX EXTRA",238,"2014-04-11",14,48,50,77
"LOTTO MAX EXTRA",239,"2014-04-18",19,44,88,89
"LOTTO MAX EXTRA",240,"2014-04-25",21,70,77,86
"LOTTO MAX EXTRA",241,"2014-05-02",6,8,34,64
"LOTTO MAX EXTRA",242,"2014-05-09",31,48,68,96
"LOTTO MAX EXTRA",243,"2014-05-16",38,51,60,71
"LOTTO MAX EXTRA",244,"2014-05-23",35,60,78,89
"LOTTO MAX EXTRA",245,"2014-05-30",3,7,27,35
"LOTTO MAX EXTRA",246,"2014-06-06",4,54,79,82
"LOTTO MAX EXTRA",247,"2014-06-13",1,40,64,86
"LOTTO MAX EXTRA",248,"2014-06-20",48,65,72,83
"LOTTO MAX EXTRA",249,"2014-06-27",12,39,57,84
"LOTTO MAX EXTRA",250,"2014-07-04",40,50,68,92
"LOTTO MAX EXTRA",251,"2014-07-11",3,26,46,80
"LOTTO MAX EXTRA",252,"2014-07-18",36,57,61,85
"LOTTO MAX EXTRA",253,"2014-07-25",21,46,52,69
"LOTTO MAX EXTRA",254,"2014-08-01",6,7,31,99
"LOTTO MAX EXTRA",255,"2014-08-08",2,42,49,66
"LOTTO MAX EXTRA",256,"2014-08-15",49,54,63,76
"LOTTO MAX EXTRA",257,"2014-08-22",4,31,39,64
"LOTTO MAX EXTRA",258,"2014-08-29",51,65,68,92
"LOTTO MAX EXTRA",259,"2014-09-05",8,54,58,73
"LOTTO MAX EXTRA",260,"2014-09-12",41,59,82,99
"LOTTO MAX EXTRA",261,"2014-09-19",41,50,54,70
"LOTTO MAX EXTRA",262,"2014-09-26",7,59,70,90
"LOTTO MAX EXTRA",263,"2014-10-03",7,11,29,78
"LOTTO MAX EXTRA",264,"2014-10-10",8,39,47,52
"LOTTO MAX EXTRA",265,"2014-10-17",13,54,65,69
"LOTTO MAX EXTRA",266,"2014-10-24",11,41,45,83
"LOTTO MAX EXTRA",267,"2014-10-31",23,54,58,94
"LOTTO MAX EXTRA",268,"2014-11-07",45,70,76,80
"LOTTO MAX EXTRA",269,"2014-11-14",38,61,77,81
"LOTTO MAX EXTRA",270,"2014-11-21",16,30,83,91
"LOTTO MAX EXTRA",271,"2014-11-28",13,52,77,78
"LOTTO MAX EXTRA",272,"2014-12-05",2,3,5,61
"LOTTO MAX EXTRA",273,"2014-12-12",14,51,61,76
"LOTTO MAX EXTRA",274,"2014-12-19",22,28,55,87
"LOTTO MAX EXTRA",275,"2014-12-26",23,27,60,83
"LOTTO MAX EXTRA",276,"2015-01-02",9,30,61,93
"LOTTO MAX EXTRA",277,"2015-01-09",2,33,42,84
"LOTTO MAX EXTRA",278,"2015-01-16",30,37,75,88
"LOTTO MAX EXTRA",279,"2015-01-23",1,13,27,79
"LOTTO MAX EXTRA",280,"2015-01-30",30,41,44,91
"LOTTO MAX EXTRA",281,"2015-02-06",7,41,43,97
"LOTTO MAX EXTRA",282,"2015-02-13",6,81,84,95
"LOTTO MAX EXTRA",283,"2015-02-20",49,52,73,80
"LOTTO MAX EXTRA",284,"2015-02-27",60,75,77,87
"LOTTO MAX EXTRA",285,"2015-03-06",2,8,28,43
"LOTTO MAX EXTRA",286,"2015-03-13",7,14,56,64
"LOTTO MAX EXTRA",287,"2015-03-20",3,6,41,63
"LOTTO MAX EXTRA",288,"2015-03-27",53,59,77,86
"LOTTO MAX EXTRA",289,"2015-04-03",2,49,73,89
"LOTTO MAX EXTRA",290,"2015-04-10",40,58,68,73
"LOTTO MAX EXTRA",291,"2015-04-17",22,47,50,93
"LOTTO MAX EXTRA",292,"2015-04-24",8,9,51,90
"LOTTO MAX EXTRA",293,"2015-05-01",20,34,41,97
"LOTTO MAX EXTRA",294,"2015-05-08",7,32,65,94
"LOTTO MAX EXTRA",295,"2015-05-15",43,51,70,85
"LOTTO MAX EXTRA",296,"2015-05-22",9,16,22,34
"LOTTO MAX EXTRA",297,"2015-05-29",24,85,90,95
"LOTTO MAX EXTRA",298,"2015-06-05",29,34,57,69
"LOTTO MAX EXTRA",299,"2015-06-12",18,27,72,93
"LOTTO MAX EXTRA",300,"2015-06-19",7,20,39,71
"LOTTO MAX EXTRA",301,"2015-06-26",25,30,72,85
"LOTTO MAX EXTRA",302,"2015-07-03",2,30,68,70
"LOTTO MAX EXTRA",303,"2015-07-10",4,10,28,70
"LOTTO MAX EXTRA",304,"2015-07-17",20,35,37,95
"LOTTO MAX EXTRA",305,"2015-07-24",4,44,64,87
"LOTTO MAX EXTRA",306,"2015-07-31",22,59,63,91
"LOTTO MAX EXTRA",307,"2015-08-07",73,74,77,88
"LOTTO MAX EXTRA",308,"2015-08-14",48,51,60,69
"LOTTO MAX EXTRA",309,"2015-08-21",53,90,91,99
"LOTTO MAX EXTRA",310,"2015-08-28",31,36,47,85
"LOTTO MAX EXTRA",311,"2015-09-04",49,57,77,85
"LOTTO MAX EXTRA",312,"2015-09-11",62,64,66,82
"LOTTO MAX EXTRA",313,"2015-09-18",2,21,72,89
"LOTTO MAX EXTRA",314,"2015-09-25",7,9,43,57
"LOTTO MAX EXTRA",315,"2015-10-02",16,60,77,80
"LOTTO MAX EXTRA",316,"2015-10-09",4,19,26,95
"LOTTO MAX EXTRA",317,"2015-10-16",21,56,76,99
"LOTTO MAX EXTRA",318,"2015-10-23",15,16,37,76
"LOTTO MAX EXTRA",319,"2015-10-30",16,48,51,63
"LOTTO MAX EXTRA",320,"2015-11-06",7,29,34,48
"LOTTO MAX EXTRA",321,"2015-11-13",19,63,90,92
"LOTTO MAX EXTRA",322,"2015-11-20",40,47,73,87
"LOTTO MAX EXTRA",323,"2015-11-27",8,82,95,98
"LOTTO MAX EXTRA",324,"2015-12-04",2,5,8,85
"LOTTO MAX EXTRA",325,"2015-12-11",5,22,27,99
"LOTTO MAX EXTRA",326,"2015-12-18",41,62,80,92
"LOTTO MAX EXTRA",327,"2015-12-25",10,25,44,48
"LOTTO MAX EXTRA",328,"2016-01-01",44,45,50,52
"LOTTO MAX EXTRA",329,"2016-01-08",10,40,62,74
"LOTTO MAX EXTRA",330,"2016-01-15",23,45,81,98
"LOTTO MAX EXTRA",331,"2016-01-22",35,56,69,78
"LOTTO MAX EXTRA",332,"2016-01-29",9,21,53,98
"LOTTO MAX EXTRA",333,"2016-02-05",25,44,50,90
"LOTTO MAX EXTRA",334,"2016-02-12",28,40,59,62
"LOTTO MAX EXTRA",335,"2016-02-19",33,47,89,95
"LOTTO MAX EXTRA",336,"2016-02-26",9,21,83,84
"LOTTO MAX EXTRA",337,"2016-03-04",2,4,75,76
"LOTTO MAX EXTRA",338,"2016-03-11",15,27,31,41
"LOTTO MAX EXTRA",339,"2016-03-18",4,52,54,87
"LOTTO MAX EXTRA",340,"2016-03-25",7,27,64,88
"LOTTO MAX EXTRA",341,"2016-04-01",1,8,27,93
"LOTTO MAX EXTRA",342,"2016-04-08",19,30,35,48
"LOTTO MAX EXTRA",343,"2016-04-15",36,55,86,98
"LOTTO MAX EXTRA",344,"2016-04-22",33,42,53,82
"LOTTO MAX EXTRA",345,"2016-04-29",10,69,87,98
"LOTTO MAX EXTRA",346,"2016-05-06",32,69,83,88
"LOTTO MAX EXTRA",347,"2016-05-13",28,42,75,91
"LOTTO MAX EXTRA",348,"2016-05-20",55,65,69,95
"LOTTO MAX EXTRA",349,"2016-05-27",46,50,76,78
"LOTTO MAX EXTRA",350,"2016-06-03",1,37,57,74
"LOTTO MAX EXTRA",351,"2016-06-10",28,30,66,95
"LOTTO MAX EXTRA",352,"2016-06-17",19,70,85,94
"LOTTO MAX EXTRA",353,"2016-06-24",18,21,48,66
"LOTTO MAX EXTRA",354,"2016-07-01",16,25,26,78
"LOTTO MAX EXTRA",355,"2016-07-08",11,37,44,83
"LOTTO MAX EXTRA",356,"2016-07-15",49,52,77,82
"LOTTO MAX EXTRA",357,"2016-07-22",32,36,61,98
"LOTTO MAX EXTRA",358,"2016-07-29",5,6,9,93
"LOTTO MAX EXTRA",359,"2016-08-05",9,28,69,82
"LOTTO MAX EXTRA",360,"2016-08-12",3,34,68,91
"LOTTO MAX EXTRA",361,"2016-08-19",3,20,62,75
"LOTTO MAX EXTRA",362,"2016-08-26",7,45,85,86
"LOTTO MAX EXTRA",363,"2016-09-02",51,54,74,77
"LOTTO MAX EXTRA",364,"2016-09-09",34,62,69,91
"LOTTO MAX EXTRA",365,"2016-09-16",26,31,47,69
"LOTTO MAX EXTRA",366,"2016-09-23",13,21,26,88
"LOTTO MAX EXTRA",367,"2016-09-30",18,65,69,73
"LOTTO MAX EXTRA",368,"2016-10-07",11,59,67,91
"LOTTO MAX EXTRA",369,"2016-10-14",6,22,66,85
"LOTTO MAX EXTRA",370,"2016-10-21",7,18,49,65
"LOTTO MAX EXTRA",371,"2016-10-28",4,22,56,85
"LOTTO MAX EXTRA",372,"2016-11-04",25,60,61,80
"LOTTO MAX EXTRA",373,"2016-11-11",76,81,87,88
"LOTTO MAX EXTRA",374,"2016-11-18",11,52,80,89
"LOTTO MAX EXTRA",375,"2016-11-25",13,76,82,89
"LOTTO MAX EXTRA",376,"2016-12-02",19,37,88,91
"LOTTO MAX EXTRA",377,"2016-12-09",17,38,82,98
"LOTTO MAX EXTRA",378,"2016-12-16",4,48,57,59
"LOTTO MAX EXTRA",379,"2016-12-23",7,9,70,79
"LOTTO MAX EXTRA",380,"2016-12-30",17,38,66,84
"LOTTO MAX EXTRA",381,"2017-01-06",20,26,66,69
"LOTTO MAX EXTRA",382,"2017-01-13",8,10,11,63
"LOTTO MAX EXTRA",383,"2017-01-20",3,12,49,87
"LOTTO MAX EXTRA",384,"2017-01-27",3,34,72,78
"LOTTO MAX EXTRA",385,"2017-02-03",37,60,89,98
"LOTTO MAX EXTRA",386,"2017-02-10",3,7,10,99
"LOTTO MAX EXTRA",387,"2017-02-17",10,35,44,59
"LOTTO MAX EXTRA",388,"2017-02-24",25,63,72,77
"LOTTO MAX EXTRA",389,"2017-03-03",54,63,77,92
"LOTTO MAX EXTRA",390,"2017-03-10",17,29,31,63
"LOTTO MAX EXTRA",391,"2017-03-17",5,27,30,72
"LOTTO MAX EXTRA",392,"2017-03-24",8,10,18,83
"LOTTO MAX EXTRA",393,"2017-03-31",26,49,52,94
"LOTTO MAX EXTRA",394,"2017-04-07",3,70,75,77
"LOTTO MAX EXTRA",395,"2017-04-14",31,33,34,52
"LOTTO MAX EXTRA",396,"2017-04-21",16,33,79,96
"LOTTO MAX EXTRA",397,"2017-04-28",2,57,77,84
"LOTTO MAX EXTRA",398,"2017-05-05",6,11,52,63
"LOTTO MAX EXTRA",399,"2017-05-12",21,22,35,42
"LOTTO MAX EXTRA",400,"2017-05-19",1,7,68,78
"LOTTO MAX EXTRA",401,"2017-05-26",3,18,81,96
"LOTTO MAX EXTRA",402,"2017-06-02",17,19,90,93
"LOTTO MAX EXTRA",403,"2017-06-09",44,56,66,87
"LOTTO MAX EXTRA",404,"2017-06-16",37,55,98,99
"LOTTO MAX EXTRA",405,"2017-06-23",6,14,19,61
"LOTTO MAX EXTRA",406,"2017-06-30",30,34,62,68
"LOTTO MAX EXTRA",407,"2017-07-07",20,36,59,88
"LOTTO MAX EXTRA",408,"2017-07-14",35,36,40,96
"LOTTO MAX EXTRA",409,"2017-07-21",7,18,63,80
"LOTTO MAX EXTRA",410,"2017-07-28",30,51,65,93
"LOTTO MAX EXTRA",411,"2017-08-04",10,22,59,99
"LOTTO MAX EXTRA",412,"2017-08-11",24,65,66,74
"LOTTO MAX EXTRA",413,"2017-08-18",31,69,82,92
"LOTTO MAX EXTRA",414,"2017-08-25",17,18,36,89
"LOTTO MAX EXTRA",415,"2017-09-01",31,58,81,89
"LOTTO MAX EXTRA",416,"2017-09-08",2,18,51,59
"LOTTO MAX EXTRA",417,"2017-09-15",13,53,59,90
"LOTTO MAX EXTRA",418,"2017-09-22",3,20,30,59
"LOTTO MAX EXTRA",419,"2017-09-29",1,25,28,96
